thisInstruction,cue_file,target_x,target_y,is_valid,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsTxtx.started,instructionsTxtx.stopped,startExp.x,startExp.y,startExp.leftButton,startExp.midButton,startExp.rightButton,startExp.time,startExp.clicked_name,startExp.started,startExp.stopped,StartButton.started,StartButton.stopped,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.clicked_name,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Hit the targets!,,,,,0,0,0,0,,,,,9.713854813016951,None,0.3875,-0.39166666666666666,1,0,0,1.6798030361533165,StartButton,0.011990084312856197,None,9.713854813016951,None,,,,,,,,,,,,,,,,001,2021_Jan_19_1146,PosnerExp,2020.2.10,30.075334840880718,
Targets will appear on the left and the right,,,,,0,1,1,1,,,,,11.43214846868068,None,0.3763888888888889,-0.3951388888888889,1,0,0,1.4661514656618237,StartButton,0.03058410808444023,None,11.43214846868068,None,,,,,,,,,,,,,,,,001,2021_Jan_19_1146,PosnerExp,2020.2.10,30.075334840880718,
Hit them as fast as you can!,,,,,0,2,2,2,,,,,12.95001832395792,None,0.3763888888888889,-0.3951388888888889,1,0,0,1.0011977748945355,StartButton,0.03222968615591526,None,12.95001832395792,None,,,,,,,,,,,,,,,,001,2021_Jan_19_1146,PosnerExp,2020.2.10,30.075334840880718,
,images/arrow_left.png,-0.5,-0.3,valid,,,,,0,0,0,2,,,,,,,,,,,,,,13.966769266873598,14.48392657469958,14.65069517120719,14.871148308739066,14.83413901180029,None,-0.41041666666666665,-0.24444444444444444,1,0,0,target,0.9089823104441166,None,,001,2021_Jan_19_1146,PosnerExp,2020.2.10,30.075334840880718,
